unit,unit_type,path,scope,description,exec_start,running_pids,exec_start_pre,exec_stop,user,environment,environment_file,wanted_by,required_by,listen,watch_path,restart,enabled_link
emergency.service,service,/lib/systemd/system/emergency.service,vendor,Emergency Shell,-/lib/systemd/systemd-sulogin-shell emergency,,-/bin/plymouth --wait quit,,,HOME=/root,,,,,,,
emergency.target,target,/lib/systemd/system/emergency.target,vendor,Emergency Mode,,,,,,,,,,,,,
ephemeral-disk-warning.service,service,/lib/systemd/system/ephemeral-disk-warning.service,vendor,Write warning to Azure ephemeral disk,/usr/sbin/ephemeral-disk-warning,,,,,,,multi-user.target,,,,,
exit.target,target,/lib/systemd/system/exit.target,vendor,Exit the container,,,,,,,,,,,,,
filebeat.service,service,/lib/systemd/system/filebeat.service,vendor,Filebeat sends log files to Logstash or directly to Elasticsearch.,/usr/share/filebeat/bin/filebeat --environment systemd $BEAT_LOG_OPTS $BEAT_CONFIG_OPTS $BEAT_PATH_OPTS,27359,,,,"""GODEBUG='madvdontneed=1'"" | ""BEAT_LOG_OPTS="" | ""BEAT_CONFIG_OPTS=-c /etc/filebeat/filebeat.yml"" | ""BEAT_PATH_OPTS=--path.home /usr/share/filebeat --path.config /etc/filebeat --path.data /var/lib/filebeat --path.logs /var/log/filebeat""",,multi-user.target,,,,always,
final.target,target,/lib/systemd/system/final.target,vendor,Final Step,,,,,,,,,,,,,
friendly-recovery.service,service,/lib/systemd/system/friendly-recovery.service,vendor,Recovery mode menu,-/lib/recovery-mode/recovery-menu,,-/bin/dmesg --console-off | -/bin/plymouth quit,,,HOME=/root,,,,,,,
friendly-recovery.target,target,/lib/systemd/system/friendly-recovery.target,vendor,Friendly Recovery Mode,,,,,,,,,,,,,
fstrim.service,service,/lib/systemd/system/fstrim.service,vendor,Discard unused blocks,/sbin/fstrim -av,,,,,,,,,,,,
fstrim.timer,timer,/lib/systemd/system/fstrim.timer,vendor,Discard unused blocks once a week,,,,,,,,timers.target,,,,,
getty-pre.target,target,/lib/systemd/system/getty-pre.target,vendor,Login Prompts (Pre),,,,,,,,,,,,,
getty-static.service,service,/lib/systemd/system/getty-static.service,vendor,getty on tty2-tty6 if dbus and logind are not available,/bin/systemctl --no-block start getty@tty2.service getty@tty3.service getty@tty4.service getty@tty5.service getty@tty6.service,,,,,,,,,,,,
getty.target,target,/lib/systemd/system/getty.target,vendor,Login Prompts,,,,,,,,,,,,,
getty@.service,service,/lib/systemd/system/getty@.service,vendor,Getty on %I,-/sbin/agetty -o '-p -- \\u' --noclear %I $TERM,"1084,1103",,,,,,getty.target,,,,always,
graphical.target,target,/lib/systemd/system/graphical.target,vendor,Graphical Interface,,,,,,,,,,,,,
halt.target,target,/lib/systemd/system/halt.target,vendor,Halt,,,,,,,,,,,,,
hibernate.target,target,/lib/systemd/system/hibernate.target,vendor,Hibernate,,,,,,,,,,,,,
hv-fcopy-daemon.service,service,/lib/systemd/system/hv-fcopy-daemon.service,vendor,Hyper-V File Copy Protocol Daemon,/usr/sbin/hv_fcopy_daemon -n,,,,,,,multi-user.target,,,,,
hv-kvp-daemon.service,service,/lib/systemd/system/hv-kvp-daemon.service,vendor,Hyper-V KVP Protocol Daemon,/usr/sbin/hv_kvp_daemon -n,7777,,,,,,multi-user.target,,,,,
hv-vss-daemon.service,service,/lib/systemd/system/hv-vss-daemon.service,vendor,Hyper-V VSS Protocol Daemon,/usr/sbin/hv_vss_daemon -n,,,,,,,multi-user.target,,,,,
hybrid-sleep.target,target,/lib/systemd/system/hybrid-sleep.target,vendor,Hybrid Suspend+Hibernate,,,,,,,,,,,,,
initrd-cleanup.service,service,/lib/systemd/system/initrd-cleanup.service,vendor,Cleaning Up and Shutting Down Daemons,/bin/systemctl --no-block isolate initrd-switch-root.target,,,,,,,,,,,,
initrd-fs.target,target,/lib/systemd/system/initrd-fs.target,vendor,Initrd File Systems,,,,,,,,,,,,,
initrd-parse-etc.service,service,/lib/systemd/system/initrd-parse-etc.service,vendor,Reload Configuration from the Real Root,-/bin/systemctl --no-block start initrd-fs.target | /bin/systemctl --no-block start initrd-cleanup.service,,-/bin/systemctl daemon-reload,,,,,,,,,,
initrd-root-device.target,target,/lib/systemd/system/initrd-root-device.target,vendor,Initrd Root Device,,,,,,,,,,,,,
initrd-root-fs.target,target,/lib/systemd/system/initrd-root-fs.target,vendor,Initrd Root File System,,,,,,,,,,,,,
initrd-switch-root.service,service,/lib/systemd/system/initrd-switch-root.service,vendor,Switch Root,/bin/systemctl --no-block switch-root /sysroot,,,,,,,,,,,,
initrd-switch-root.target,target,/lib/systemd/system/initrd-switch-root.target,vendor,Switch Root,,,,,,,,,,,,,
initrd-udevadm-cleanup-db.service,service,/lib/systemd/system/initrd-udevadm-cleanup-db.service,vendor,Cleanup udevd DB,-/bin/udevadm info --cleanup-db,,,,,,,,,,,,
initrd.target,target,/lib/systemd/system/initrd.target,vendor,Initrd Default Target,,,,,,,,,,,,,
intel-sgx-load-module.service,service,/lib/systemd/system/intel-sgx-load-module.service,vendor,Install SGX kernel module,/sbin/modprobe intel_sgx,,,/sbin/modprobe -r intel_sgx,,,,multi-user.target,,,,,
irqbalance.service,service,/lib/systemd/system/irqbalance.service,vendor,irqbalance daemon,/usr/sbin/irqbalance --foreground $IRQBALANCE_ARGS,,,,,,-/etc/default/irqbalance,multi-user.target,,,,no,
iscsid.service,service,/lib/systemd/system/iscsid.service,vendor,iSCSI initiator daemon (iscsid),/sbin/iscsid,,/lib/open-iscsi/startup-checks.sh,,,,,sysinit.target,,,,,
iscsid.socket,socket,/lib/systemd/system/iscsid.socket,vendor,Open-iSCSI iscsid Socket,,,,,,,,sockets.target,,@ISCSIADM_ABSTRACT_NAMESPACE,,,
kexec.target,target,/lib/systemd/system/kexec.target,vendor,Reboot via kexec,,,,,,,,,,,,,
keyboard-setup.service,service,/lib/systemd/system/keyboard-setup.service,vendor,Set the console keyboard layout,/lib/console-setup/keyboard-setup.sh,,,,,,,sysinit.target,,,,,
kmod-static-nodes.service,service,/lib/systemd/system/kmod-static-nodes.service,vendor,Create list of required static device nodes for the current kernel,/bin/kmod static-nodes --format=tmpfiles --output=/run/tmpfiles.d/kmod.conf,,,,,,,,,,,,
local-fs-pre.target,target,/lib/systemd/system/local-fs-pre.target,vendor,Local File Systems (Pre),,,,,,,,,,,,,
local-fs.target,target,/lib/systemd/system/local-fs.target,vendor,Local File Systems,,,,,,,,,,,,,
lvm2-lvmetad.service,service,/lib/systemd/system/lvm2-lvmetad.service,vendor,LVM2 metadata daemon,/sbin/lvmetad -f,447,,,,SD_ACTIVATION=1,,,,,,on-abort,
lvm2-lvmetad.socket,socket,/lib/systemd/system/lvm2-lvmetad.socket,vendor,LVM2 metadata daemon socket,,,,,,,,sysinit.target,,/run/lvm/lvmetad.socket,,,
lvm2-lvmpolld.service,service,/lib/systemd/system/lvm2-lvmpolld.service,vendor,LVM2 poll daemon,/sbin/lvmpolld -t 60 -f,,,,,SD_ACTIVATION=1,,,,,,,
lvm2-lvmpolld.socket,socket,/lib/systemd/system/lvm2-lvmpolld.socket,vendor,LVM2 poll daemon socket,,,,,,,,sysinit.target,,/run/lvm/lvmpolld.socket,,,
lvm2-monitor.service,service,/lib/systemd/system/lvm2-monitor.service,vendor,"Monitoring of LVM2 mirrors, snapshots etc. using dmeventd or progress polling",/sbin/lvm vgchange --monitor y --ignoreskippedcluster,,,/sbin/lvm vgchange --monitor n --ignoreskippedcluster,,LVM_SUPPRESS_LOCKING_FAILURE_MESSAGES=1,,sysinit.target,,,,,
lvm2-pvscan@.service,service,/lib/systemd/system/lvm2-pvscan@.service,vendor,LVM2 PV scan on device %i,/sbin/lvm pvscan --cache --activate ay %i,,,/sbin/lvm pvscan --cache %i,,,,,,,,,
lxcfs.service,service,/lib/systemd/system/lxcfs.service,vendor,FUSE filesystem for LXC,/usr/bin/lxcfs /var/lib/lxcfs/,1046,,,,,,multi-user.target,,,,on-failure,
lxd-containers.service,service,/lib/systemd/system/lxd-containers.service,vendor,LXD - container startup/shutdown,/usr/bin/lxd activateifneeded,,,/usr/lib/lxd/shutdown,,,,multi-user.target,,,,,
lxd.service,service,/lib/systemd/system/lxd.service,vendor,LXD - main daemon,/usr/bin/lxd --group lxd --logfile=/var/log/lxd/lxd.log,,/usr/lib/x86_64-linux-gnu/lxc/lxc-apparmor-load,,,,-/etc/environment,,,,,on-failure,
lxd.socket,socket,/lib/systemd/system/lxd.socket,vendor,LXD - unix socket,,,,,,,,sockets.target,,/var/lib/lxd/unix.socket,,,
machine.slice,slice,/lib/systemd/system/machine.slice,vendor,Virtual Machine and Container Slice,,,,,,,,,,,,,
mdadm-grow-continue@.service,service,/lib/systemd/system/mdadm-grow-continue@.service,vendor,Manage MD Reshape on /dev/%I,/sbin/mdadm --grow --continue /dev/%I,,,,,,,,,,,,
mdadm-last-resort@.service,service,/lib/systemd/system/mdadm-last-resort@.service,vendor,Activate md array %I even though degraded,/sbin/mdadm --run /dev/%i,,,,,,,,,,,,
mdadm-last-resort@.timer,timer,/lib/systemd/system/mdadm-last-resort@.timer,vendor,Timer to wait for more drives before activating degraded array %I.,,,,,,,,,,,,,
mdadm-shutdown.service,service,/lib/systemd/system/mdadm-shutdown.service,vendor,Prepare mdadm shutdown initramfs,/bin/true,,,"/bin/mount -o remount,exec,suid /run | /bin/mkdir -p /run/initramfs | /usr/bin/dracut --no-compress --no-kernel --quiet --force --force-add ""shutdown mdraid"" --omit ""caps"" /run/initramfs/shutdown.cpio | /bin/sh -c 'cd /run/initramfs; cpio -id --quiet < shutdown.cpio' | /bin/rm /run/initramfs/shutdown.cpio",,,,sysinit.target,,,,,
mdmon@.service,service,/lib/systemd/system/mdmon@.service,vendor,MD Metadata Monitor on /dev/%I,/sbin/mdmon --offroot --takeover %I,,,,,IMSM_NO_PLATFORM=1,,,,,,,
mdmonitor.service,service,/lib/systemd/system/mdmonitor.service,vendor,MD array monitor,/sbin/mdadm --monitor --scan,,,,,,,,,,,,
motd-news.service,service,/lib/systemd/system/motd-news.service,vendor,Message of the Day,/etc/update-motd.d/50-motd-news --force,,,,,,,,,,,,
motd-news.timer,timer,/lib/systemd/system/motd-news.timer,vendor,Message of the Day,,,,,,,,timers.target,,,,,
multi-user.target,target,/lib/systemd/system/multi-user.target,vendor,Multi-User System,,,,,,,,,,,,,
network-online.target,target,/lib/systemd/system/network-online.target,vendor,Network is Online,,,,,,,,,,,,,
network-pre.target,target,/lib/systemd/system/network-pre.target,vendor,Network (Pre),,,,,,,,,,,,,
network.target,target,/lib/systemd/system/network.target,vendor,Network,,,,,,,,,,,,,
networkd-dispatcher.service,service,/lib/systemd/system/networkd-dispatcher.service,vendor,Dispatcher daemon for systemd-networkd,/usr/bin/networkd-dispatcher $networkd_dispatcher_args,,,,,,-/etc/default/%p,multi-user.target,,,,,
nss-lookup.target,target,/lib/systemd/system/nss-lookup.target,vendor,Host and Network Name Lookups,,,,,,,,,,,,,
nss-user-lookup.target,target,/lib/systemd/system/nss-user-lookup.target,vendor,User and Group Name Lookups,,,,,,,,,,,,,
omid.service,service,/lib/systemd/system/omid.service,vendor,OMI CIM Server,/opt/omi/bin/omiserver -d,22096,/opt/omi/bin/support/installssllinks,/opt/omi/bin/omiserver -s,,"""OMI_HOME=/opt/omi""",,multi-user.target,,,,on-failure,
omsagent-00000000-0000-4000-8000-000000000001.service,service,/lib/systemd/system/omsagent-00000000-0000-4000-8000-000000000001.service,vendor,Operations Management Suite agent,/opt/microsoft/omsagent/bin/omsagent \,828,,/bin/rm -f /var/opt/microsoft/omsagent/00000000-0000-4000-8000-000000000001/run/omsagent.pid,omsagent,,/etc/opt/microsoft/omsagent/omsagent.env,multi-user.target,,,,,
ondemand.service,service,/lib/systemd/system/ondemand.service,vendor,Set the CPU Frequency Scaling governor,/lib/systemd/set-cpufreq,,,,,,,multi-user.target,,,,,
open-iscsi.service,service,/lib/systemd/system/open-iscsi.service,vendor,Login to default iSCSI targets,/sbin/iscsiadm -m node --loginall=automatic | /lib/open-iscsi/activate-storage.sh,,,/lib/open-iscsi/umountiscsi.sh | /bin/sync | /lib/open-iscsi/logout-all.sh,,,,sysinit.target,,,,,
open-vm-tools.service,service,/lib/systemd/system/open-vm-tools.service,vendor,Service for virtual machines hosted on VMware,/usr/bin/vmtoolsd,,,,,,,multi-user.target,,,,,
paths.target,target,/lib/systemd/system/paths.target,vendor,Paths,,,,,,,,,,,,,
plymouth-halt.service,service,/lib/systemd/system/plymouth-halt.service,vendor,Show Plymouth Halt Screen,/sbin/plymouthd --mode=shutdown --attach-to-session,,,,,,,,,,,,
plymouth-kexec.service,service,/lib/systemd/system/plymouth-kexec.service,vendor,Show Plymouth Reboot with kexec Screen,/sbin/plymouthd --mode=shutdown --attach-to-session,,,,,,,,,,,,
plymouth-poweroff.service,service,/lib/systemd/system/plymouth-poweroff.service,vendor,Show Plymouth Power Off Screen,/sbin/plymouthd --mode=shutdown --attach-to-session,,,,,,,,,,,,
plymouth-quit-wait.service,service,/lib/systemd/system/plymouth-quit-wait.service,vendor,Hold until boot process finishes up,-/bin/plymouth --wait,,,,,,,,,,,,
plymouth-quit.service,service,/lib/systemd/system/plymouth-quit.service,vendor,Terminate Plymouth Boot Screen,-/bin/plymouth quit,,,,,,,,,,,,
plymouth-read-write.service,service,/lib/systemd/system/plymouth-read-write.service,vendor,Tell Plymouth To Write Out Runtime Data,-/bin/plymouth update-root-fs --read-write,,,,,,,,,,,,
plymouth-reboot.service,service,/lib/systemd/system/plymouth-reboot.service,vendor,Show Plymouth Reboot Screen,/sbin/plymouthd --mode=shutdown --attach-to-session,,,,,,,,,,,,
plymouth-start.service,service,/lib/systemd/system/plymouth-start.service,vendor,Show Plymouth Boot Screen,/sbin/plymouthd --mode=boot --pid-file=/run/plymouth/pid --attach-to-session,,,,,,,,,,,,
plymouth-switch-root.service,service,/lib/systemd/system/plymouth-switch-root.service,vendor,Plymouth switch root service,-/bin/plymouth update-root-fs --new-root-dir=/sysroot,,,,,,,,,,,,
polkit.service,service,/lib/systemd/system/polkit.service,vendor,Authorization Manager,/usr/lib/policykit-1/polkitd --no-debug,1124,,,,,,,,,,,
pollinate.service,service,/lib/systemd/system/pollinate.service,vendor,Pollinate to seed the pseudo random number generator,/usr/bin/pollinate,,,,pollinate,,,multi-user.target,,,,,
poweroff.target,target,/lib/systemd/system/poweroff.target,vendor,Power-Off,,,,,,,,,,,,,
printer.target,target,/lib/systemd/system/printer.target,vendor,Printer,,,,,,,,,,,,,
proc-sys-fs-binfmt_misc.automount,automount,/lib/systemd/system/proc-sys-fs-binfmt_misc.automount,vendor,Arbitrary Executable File Formats File System Automount Point,,,,,,,,,,,,,
proc-sys-fs-binfmt_misc.mount,mount,/lib/systemd/system/proc-sys-fs-binfmt_misc.mount,vendor,Arbitrary Executable File Formats File System,,,,,,,,,,,,,
quotaon.service,service,/lib/systemd/system/quotaon.service,vendor,Enable File System Quotas,/sbin/quotaon -aug,,,,,,,,,,,,
rc-local.service,service,/lib/systemd/system/rc-local.service,vendor,/etc/rc.local Compatibility,/etc/rc.local start,,,,,,,,,,,,
rc-local.service,service,/lib/systemd/system/rc-local.service.d/debian.conf,vendor drop-in,,,,,,,,,,,,,,
reboot.target,target,/lib/systemd/system/reboot.target,vendor,Reboot,,,,,,,,,,,,,
remote-cryptsetup.target,target,/lib/systemd/system/remote-cryptsetup.target,vendor,Remote Encrypted Volumes,,,,,,,,multi-user.target,,,,,
remote-fs-pre.target,target,/lib/systemd/system/remote-fs-pre.target,vendor,Remote File Systems (Pre),,,,,,,,,,,,,
remote-fs.target,target,/lib/systemd/system/remote-fs.target,vendor,Remote File Systems,,,,,,,,multi-user.target,,,,,
rescue.service,service,/lib/systemd/system/rescue.service,vendor,Rescue Shell,-/lib/systemd/systemd-sulogin-shell rescue,,-/bin/plymouth --wait quit,,,HOME=/root,,,,,,,
rescue.target,target,/lib/systemd/system/rescue.target,vendor,Rescue Mode,,,,,,,,,,,,,
rpcbind.target,target,/lib/systemd/system/rpcbind.target,vendor,RPC Port Mapper,,,,,,,,,,,,,
rsync.service,service,/lib/systemd/system/rsync.service,vendor,fast remote file copy program daemon,/usr/bin/rsync --daemon --no-detach,,,,,,,multi-user.target,,,,,
rsyslog.service,service,/lib/systemd/system/rsyslog.service,vendor,System Logging Service,/usr/sbin/rsyslogd -n,31957,,,,,,multi-user.target,,,,on-failure,
serial-getty@.service,service,/lib/systemd/system/serial-getty@.service,vendor,Serial Getty on %I,"-/sbin/agetty -o '-p -- \\u' --keep-baud 115200,38400,9600 %I $TERM","1084,1103",,,,,,getty.target,,,,always,
setvtrgb.service,service,/lib/systemd/system/setvtrgb.service,vendor,Set console scheme,/sbin/setvtrgb /etc/vtrgb,,,,,,,sysinit.target,,,,,
shutdown.target,target,/lib/systemd/system/shutdown.target,vendor,Shutdown,,,,,,,,,,,,,
sigpwr.target,target,/lib/systemd/system/sigpwr.target,vendor,Power Failure,,,,,,,,,,,,,
sleep.target,target,/lib/systemd/system/sleep.target,vendor,Sleep,,,,,,,,,,,,,
slices.target,target,/lib/systemd/system/slices.target,vendor,Slices,,,,,,,,,,,,,
smartcard.target,target,/lib/systemd/system/smartcard.target,vendor,Smart Card,,,,,,,,,,,,,
snapd.apparmor.service,service,/lib/systemd/system/snapd.apparmor.service,vendor,Load AppArmor profiles managed internally by snapd,/usr/lib/snapd/snapd-apparmor start,,,,,,,multi-user.target,,,,,
snapd.autoimport.service,service,/lib/systemd/system/snapd.autoimport.service,vendor,Auto import assertions from block devices,/usr/bin/snap auto-import,,,,,,,multi-user.target,,,,,
snapd.core-fixup.service,service,/lib/systemd/system/snapd.core-fixup.service,vendor,Automatically repair incorrect owner/permissions on core devices,/usr/lib/snapd/snapd.core-fixup.sh,,,,,,,multi-user.target,,,,,
snapd.failure.service,service,/lib/systemd/system/snapd.failure.service,vendor,Failure handling of the snapd snap,/usr/lib/snapd/snap-failure snapd,,,,,,,,,,,,
snapd.recovery-chooser-trigger.service,service,/lib/systemd/system/snapd.recovery-chooser-trigger.service,vendor,Wait for the Ubuntu Core chooser trigger,/usr/lib/snapd/snap-bootstrap recovery-chooser-trigger,,,,,,,multi-user.target,,,,,
snapd.seeded.service,service,/lib/systemd/system/snapd.seeded.service,vendor,Wait until snapd is fully seeded,/usr/bin/snap wait system seed.loaded,,,,,,,multi-user.target cloud-final.service,,,,,
snapd.service,service,/lib/systemd/system/snapd.service,vendor,Snap Daemon,/usr/lib/snapd/snapd,,,,,,-/etc/environment,multi-user.target,,,,always,
snapd.snap-repair.service,service,/lib/systemd/system/snapd.snap-repair.service,vendor,Automatically fetch and run repair assertions,/usr/lib/snapd/snap-repair run,,,,,SNAP_REPAIR_FROM_TIMER=1,-/etc/environment,,,,,,
snapd.snap-repair.timer,timer,/lib/systemd/system/snapd.snap-repair.timer,vendor,Timer to automatically fetch and run repair assertions,,,,,,,,timers.target,,,,,
snapd.socket,socket,/lib/systemd/system/snapd.socket,vendor,Socket activation for snappy daemon,,,,,,,,sockets.target,,/run/snapd.socket | /run/snapd-snap.socket,,,
snapd.system-shutdown.service,service,/lib/systemd/system/snapd.system-shutdown.service,vendor,Ubuntu core (all-snaps) system shutdown helper setup service,"/bin/mount /run -o remount,exec | /bin/mkdir -p /run/initramfs | /bin/cp /usr/lib/snapd/system-shutdown /run/initramfs/shutdown",,,,,,,final.target,,,,,
sockets.target,target,/lib/systemd/system/sockets.target,vendor,Sockets,,,,,,,,,,,,,
sound.target,target,/lib/systemd/system/sound.target,vendor,Sound Card,,,,,,,,,,,,,
ssh.service,service,/lib/systemd/system/ssh.service,vendor,OpenBSD Secure Shell server,/usr/sbin/sshd -D $SSHD_OPTS,"1106,4092,4204",/usr/sbin/sshd -t,,,,-/etc/default/ssh,multi-user.target,,,,on-failure,
ssh.socket,socket,/lib/systemd/system/ssh.socket,vendor,OpenBSD Secure Shell server socket,,,,,,,,sockets.target,,22,,,
ssh@.service,service,/lib/systemd/system/ssh@.service,vendor,OpenBSD Secure Shell server per-connection daemon,-/usr/sbin/sshd -i $SSHD_OPTS,"1106,4092,4204",,,,,-/etc/default/ssh,,,,,,
suspend-then-hibernate.target,target,/lib/systemd/system/suspend-then-hibernate.target,vendor,Suspend; Idle into hibernate,,,,,,,,,,,,,
suspend.target,target,/lib/systemd/system/suspend.target,vendor,Suspend,,,,,,,,,,,,,
swap.target,target,/lib/systemd/system/swap.target,vendor,Swap,,,,,,,,,,,,,
