severity,category,title,mitre,artifact,count,first_utc,last_utc,detail,evidence_count,evidence
HIGH,Persistence,authorized_keys file timestamps,T1098.004 SSH Authorized Keys,bodyfile/bodyfile.txt,2,2021-10-06 18:53:38,2021-10-06 18:53:38,Compare these against the incident window - a key file written during the intrusion is attacker persistence.,2,"/home/azureuser/.ssh/authorized_keys  mtime=2021-10-06 18:53:38 ctime=2021-10-06 18:53:38
/root/.ssh/authorized_keys  mtime=2021-10-06 18:53:38 ctime=2021-10-06 18:53:38"
HIGH,Pivot,Cross-artifact hits for '/tmp/agettyd',,(4 artifacts),13,,,"13 mention(s) in 4 artifact(s) - the same indicator followed through process, network, log, hash and filesystem evidence.",12,"live_response/process/ls_-la_proc.txt                :3380   lrwxrwxrwx   1 daemon daemon 0 Dec  8 18:51 exe -> /tmp/agettyd (deleted)
live_response/process/lsof_-nPl.txt                  :12815  agettyd   24330              1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
live_response/process/lsof_-nPl.txt                  :12832  agettyd   24330  7897        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
live_response/process/lsof_-nPl.txt                  :12849  agettyd   24330 24333        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
live_response/process/lsof_-nPl.txt                  :12866  agettyd   24330 24334        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
live_response/process/lsof_-nPl.txt                  :12883  agettyd   24330 24335        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
live_response/process/lsof_-nPl.txt                  :12900  agettyd   24330 24336        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
live_response/process/proc/24330/maps.txt            :20     7f0654d1a000-7f0654d79000 r--p 00000000 08:11 30248                      /tmp/agettyd (deleted)
live_response/process/proc/24330/maps.txt            :21     7f0654d79000-7f0655239000 r-xp 0005f000 08:11 30248                      /tmp/agettyd (deleted)
live_response/process/proc/24330/maps.txt            :22     7f0655239000-7f06553c1000 r--p 0051f000 08:11 30248                      /tmp/agettyd (deleted)
live_response/process/proc/24330/maps.txt            :23     7f06553c2000-7f0655404000 rw-p 006a7000 08:11 30248                      /tmp/agettyd (deleted)
live_response/process/running_processes_full_paths.txt :60     lrwxrwxrwx 1 daemon           daemon           0 Dec  8 18:51 /proc/24330/exe -> /tmp/agettyd (deleted)"
HIGH,Pivot,Cross-artifact hits for '/var/tmp/dk86',,(10 artifacts),14,2021-12-01 00:30:03,2021-12-07 18:18:12,"14 mention(s) in 10 artifact(s) - the same indicator followed through process, network, log, hash and filesystem evidence.",14,"/var/log/kern.log                                    :565    Dec  5 08:03:33 ApacheWebServer kernel: [4899445.667993] audit: type=1309 audit(1638691401.386:15104498): argc=6 a0=""rm"" a1=""-rf"" a2=""/var/tmp/cloud-init"" a3=""/var/tmp/dk86"" a4=""/var/tmp/systemd-pr...
/var/log/kern.log                                    :615    Dec  5 08:03:59 ApacheWebServer kernel: [4899471.402146] audit: type=1309 audit(1638691437.537:15104543): argc=6 a0=""rm"" a1=""-rf"" a2=""/var/tmp/cloud-init"" a3=""/var/tmp/dk86"" a4=""/var/tmp/systemd-pr...
/var/log/kern.log                                    :3004   Dec  7 18:18:12 ApacheWebServer kernel: [5109125.084518] audit: type=1309 audit(1638901092.678:16421292): argc=6 a0=""rm"" a1=""-rf"" a2=""/var/tmp/cloud-init"" a3=""/var/tmp/dk86"" a4=""/var/tmp/systemd-pr...
/var/log/kern.log.1                                  :1514   Dec  1 00:30:03 ApacheWebServer kernel: [4526636.191770] audit: type=1309 audit(1638318603.786:12671725): argc=6 a0=""rm"" a1=""-rf"" a2=""/var/tmp/cloud-init"" a3=""/var/tmp/dk86"" a4=""/var/tmp/systemd-pr...
/var/log/kern.log.1                                  :2534   Dec  3 14:13:11 ApacheWebServer kernel: [4748823.792929] audit: type=1309 audit(1638540790.651:14171523): argc=6 a0=""rm"" a1=""-rf"" a2=""/var/tmp/cloud-init"" a3=""/var/tmp/dk86"" a4=""/var/tmp/systemd-pr...
/var/log/syslog.1                                    :1765   Dec  7 18:18:12 ApacheWebServer kernel: [5109125.084518] audit: type=1309 audit(1638901092.678:16421292): argc=6 a0=""rm"" a1=""-rf"" a2=""/var/tmp/cloud-init"" a3=""/var/tmp/dk86"" a4=""/var/tmp/systemd-pr...
/var/log/syslog.3.gz                                 :1145   Dec  5 08:03:33 ApacheWebServer kernel: [4899445.667993] audit: type=1309 audit(1638691401.386:15104498): argc=6 a0=""rm"" a1=""-rf"" a2=""/var/tmp/cloud-init"" a3=""/var/tmp/dk86"" a4=""/var/tmp/systemd-pr...
/var/log/syslog.3.gz                                 :1201   Dec  5 08:03:59 ApacheWebServer kernel: [4899471.402146] audit: type=1309 audit(1638691437.537:15104543): argc=6 a0=""rm"" a1=""-rf"" a2=""/var/tmp/cloud-init"" a3=""/var/tmp/dk86"" a4=""/var/tmp/systemd-pr...
/var/log/syslog.5.gz                                 :1165   Dec  3 14:13:11 ApacheWebServer kernel: [4748823.792929] audit: type=1309 audit(1638540790.651:14171523): argc=6 a0=""rm"" a1=""-rf"" a2=""/var/tmp/cloud-init"" a3=""/var/tmp/dk86"" a4=""/var/tmp/systemd-pr...
bodyfile/bodyfile.txt                                :26192  0|/var/tmp/dk86|35170|-rwxr-xr-x|1|1|48748|1636657791|1636657791|1636657791|1636657791
hash_executables/hash_executables.md5                :2733   d9f82dbf8733f15f97fb352467c9ab21  /var/tmp/dk86
hash_executables/hash_executables.sha1               :531    296273fd9965bf41d8d3970c766158c7f24fc618  /var/tmp/dk86
hash_executables/list_of_executable_files.txt        :3259   /var/tmp/dk86
live_response/hardware/dmesg.txt                     :816    [5109125.084518] audit: type=1309 audit(1638901092.678:16421292): argc=6 a0=""rm"" a1=""-rf"" a2=""/var/tmp/cloud-init"" a3=""/var/tmp/dk86"" a4=""/var/tmp/systemd-private-9c935011ab6e49a49dffdb40eb9ced7c-s..."
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/90-cloud-init-users,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/90-cloud-init-users: azureuser ALL=(ALL) NOPASSWD:ALL
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsconfig/Scripts/OMSRsyslog.post.sh
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsconfig/Scripts/OMSSysklog.post.sh
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsconfig/Scripts/OMSSyslog-ng.post.sh
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsconfig/Scripts/OMSServiceStat.sh
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsconfig/Scripts/OMSServiceStatAll.sh
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsconfig/Scripts/OMSYumUpdates.sh
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsconfig/Scripts/OMSZypperUpdates.sh
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsconfig/Scripts/OMSAptUpdates.sh
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsconfig/Scripts/NPMAgentBinaryCap.sh
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsagent/bin/service_control
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /usr/bin/docker inspect *
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsagent/ruby/bin/ruby /opt/microsoft/omsagent/plugin/tailfilereader.rb *
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /usr/bin/test -r*
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /usr/bin/touch
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsagent/ruby/bin/ruby /opt/microsoft/omsagent/bin/hdinsightmanifestreader.rb
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsconfig/Scripts/OMSAuditdPlugin.sh
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsagent/plugin/omsbaseline *
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsagent/plugin/processinvestigator *
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsagent/ruby/bin/ruby /opt/microsoft/omsagent/plugin/collectantimalwareinfo.rb
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: nxautomation ALL=(ALL) NOPASSWD: ALL
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /usr/bin/python /opt/microsoft/omsconfig/modules/nxOMSAutomationWorker/DSCResources/MSFT_nxOMSAutomationWorkerResource/automationworker/worker/main.py *
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /usr/bin/python /opt/microsoft/omsconfig/modules/nxOMSAutomationWorker/DSCResources/MSFT_nxOMSAutomationWorkerResource/automationworker/worker/omsutil.py *
