rule,level,product,service_or_category,applicable,why_not,tables_checked,rows_matched,rule_id,rule_file
Github SSH Certificate Configuration Changed,medium,github,audit,no,logsource product 'github' is not this collection,,0,2f575940-d85e-4ddc-af13-17dad6f1a0ef,sigma-rules/rules\application\github\audit\github_ssh_certificate_config_changed.yml
Potential JNDI Injection Exploitation In JVM Based Application,high,jvm,application,no,logsource product 'jvm' is not this collection,,0,bb0e9cec-d4da-46f5-997f-22efc59f3dca,sigma-rules/rules\application\jvm\java_jndi_injection_exploitation_attempt.yml
Potential Local File Read Vulnerability In JVM Based Application,high,jvm,application,no,logsource product 'jvm' is not this collection,,0,e032f5bc-4563-4096-ae3b-064bab588685,sigma-rules/rules\application\jvm\java_local_file_read.yml
Potential OGNL Injection Exploitation In JVM Based Application,high,jvm,application,no,logsource product 'jvm' is not this collection,,0,4d0af518-828e-4a04-a751-a7d03f3046ad,sigma-rules/rules\application\jvm\java_ognl_injection_exploitation_attempt.yml
Process Execution Error In JVM Based Application,high,jvm,application,no,logsource product 'jvm' is not this collection,,0,d65f37da-a26a-48f8-8159-3dde96680ad2,sigma-rules/rules\application\jvm\java_rce_exploitation_attempt.yml
Potential XXE Exploitation Attempt In JVM Based Application,high,jvm,application,no,logsource product 'jvm' is not this collection,,0,c4e06896-e27c-4583-95ac-91ce2279345d,sigma-rules/rules\application\jvm\java_xxe_exploitation_attempt.yml
Kubernetes Admission Controller Modification,medium,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,eed82177-38f5-4299-8a76-098d50d225ab,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_change_admission_controller.yml
Kubernetes CronJob/Job Modification,medium,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,0c9b3bda-41a6-4442-9345-356ae86343dc,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_cronjob_modification.yml
Deployment Deleted From Kubernetes Cluster,low,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,40967487-139b-4811-81d9-c9767a92aa5a,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_deployment_deleted.yml
Kubernetes Events Deleted,medium,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,3132570d-cab2-4561-9ea6-1743644b2290,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_events_deleted.yml
Potential Remote Command Execution In Pod Container,medium,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,a1b0ca4e-7835-413e-8471-3ff2b8a66be6,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_exec_into_container.yml
Container With A hostPath Mount Created,low,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,402b955c-8fe0-4a8c-b635-622b4ac5f902,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_hostpath_mount.yml
Creation Of Pod In System Namespace,medium,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,a80d927d-ac6e-443f-a867-e8d6e3897318,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_pod_in_system_namespace.yml
Kubernetes Potential Enumeration Activity,medium,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,597a7e84-187d-458b-9e4f-2f5a0e676711,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_potential_enumeration_activity.yml
Privileged Container Deployed,low,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,c5cd1b20-36bb-488d-8c05-486be3d0cb97,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_privileged_pod_creation.yml
RBAC Permission Enumeration Attempt,low,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,84b777bd-c946-4d17-aa2e-c39f5a454325,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_rbac_permisions_listing.yml
Kubernetes Rolebinding Modification,medium,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,10b97915-ec8d-455f-a815-9a78926585f6,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_rolebinding_modification.yml
Kubernetes Secrets Enumeration,low,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,eeb3e9e1-b685-44e4-9232-6bb701f925b5,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_secrets_enumeration.yml
Kubernetes Secrets Modified or Deleted,medium,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,58d31a75-a4f8-4c40-985b-373d58162ca2,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_secrets_modified_or_deleted.yml
New Kubernetes Service Account Created,low,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,e31bae15-83ed-473e-bf31-faf4f8a17d36,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_serviceaccount_creation.yml
Potential Sidecar Injection Into Running Deployment,medium,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,ad9012a6-e518-4432-9890-f3b82b8fc71f,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_sidecar_injection.yml
Kubernetes Unauthorized or Unauthenticated Access,low,kubernetes,audit,no,logsource product 'kubernetes' is not this collection,,0,0d933542-1f1f-420d-97d4-21b2c3c492d9,sigma-rules/rules\application\kubernetes\audit\kubernetes_audit_unauthorized_unauthenticated_actions.yml
Potential RCE Exploitation Attempt In NodeJS,high,nodejs,application,no,logsource product 'nodejs' is not this collection,,0,97661d9d-2beb-4630-b423-68985291a8af,sigma-rules/rules\application\nodejs\nodejs_rce_exploitation_attempt.yml
OpenCanary - FTP Login Attempt,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,6991bc2b-ae2e-447f-bc55-3a1ba04c14e5,sigma-rules/rules\application\opencanary\opencanary_ftp_login_attempt.yml
OpenCanary - GIT Clone Request,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,4fe17521-aef3-4e6a-9d6b-4a7c8de155a8,sigma-rules/rules\application\opencanary\opencanary_git_clone_request.yml
OpenCanary - HTTP GET Request,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,af6c3078-84cd-4c68-8842-08b76bd81b13,sigma-rules/rules\application\opencanary\opencanary_http_get.yml
OpenCanary - HTTP POST Login Attempt,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,af1ac430-df6b-4b38-b976-0b52f07a0252,sigma-rules/rules\application\opencanary\opencanary_http_post_login_attempt.yml
OpenCanary - HTTPPROXY Login Attempt,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,5498fc09-adc6-4804-b9d9-5cca1f0b8760,sigma-rules/rules\application\opencanary\opencanary_httpproxy_login_attempt.yml
OpenCanary - MSSQL Login Attempt Via SQLAuth,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,3ec9a16d-0b4f-4967-9542-ebf38ceac7dd,sigma-rules/rules\application\opencanary\opencanary_mssql_login_sqlauth.yml
OpenCanary - MSSQL Login Attempt Via Windows Authentication,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,6e78f90f-0043-4a01-ac41-f97681613a66,sigma-rules/rules\application\opencanary\opencanary_mssql_login_winauth.yml
OpenCanary - MySQL Login Attempt,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,e7d79a1b-25ed-4956-bd56-bd344fa8fd06,sigma-rules/rules\application\opencanary\opencanary_mysql_login_attempt.yml
OpenCanary - NTP Monlist Request,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,7cded4b3-f09e-405a-b96f-24248433ba44,sigma-rules/rules\application\opencanary\opencanary_ntp_monlist.yml
OpenCanary - NMAP FIN Scan,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,eae8c0c8-e5da-450a-9d7d-66aa56cd26b6,sigma-rules/rules\application\opencanary\opencanary_portscan_nmap_fin_scan.yml
OpenCanary - NMAP NULL Scan,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,68b8547b-107f-43f3-97fb-900a7d63c190,sigma-rules/rules\application\opencanary\opencanary_portscan_nmap_null_scan.yml
OpenCanary - NMAP OS Scan,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,e8a677fd-248c-4eab-94df-de2f6f645884,sigma-rules/rules\application\opencanary\opencanary_portscan_nmap_os_scan.yml
OpenCanary - NMAP XMAS Scan,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,d7553d7b-f485-479c-b192-cdac6edd83a4,sigma-rules/rules\application\opencanary\opencanary_portscan_nmap_xmas_scan.yml
OpenCanary - Host Port Scan (SYN Scan),high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,974be8d2-283e-4033-ab08-7505b84204d0,sigma-rules/rules\application\opencanary\opencanary_portscan_syn_scan.yml
OpenCanary - RDP New Connection Attempt,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,598290cf-5932-45cd-9123-be1e05ab4f2e,sigma-rules/rules\application\opencanary\opencanary_rdp_connection_attempt.yml
OpenCanary - REDIS Action Command Attempt,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,547dfc53-ebf6-4afe-8d2e-793d9574975d,sigma-rules/rules\application\opencanary\opencanary_redis_command.yml
OpenCanary - SIP Request,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,e30de276-68ec-435c-ab99-ef3befec6c61,sigma-rules/rules\application\opencanary\opencanary_sip_request.yml
OpenCanary - SMB File Open Request,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,22777c9e-873a-4b49-855f-6072ab861a52,sigma-rules/rules\application\opencanary\opencanary_smb_file_open.yml
OpenCanary - SNMP OID Request,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,e9856028-fd4e-46e6-b3d1-10f7ceb95078,sigma-rules/rules\application\opencanary\opencanary_snmp_cmd.yml
OpenCanary - SSH Login Attempt,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,ff7139bc-fdb1-4437-92f2-6afefe8884cb,sigma-rules/rules\application\opencanary\opencanary_ssh_login_attempt.yml
OpenCanary - SSH New Connection Attempt,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,cd55f721-5623-4663-bd9b-5229cab5237d,sigma-rules/rules\application\opencanary\opencanary_ssh_new_connection.yml
OpenCanary - Telnet Login Attempt,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,512cff7a-683a-43ad-afe0-dd398e872f36,sigma-rules/rules\application\opencanary\opencanary_telnet_login_attempt.yml
OpenCanary - TFTP Request,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,b4e6b016-a2ac-4759-ad85-8000b300d61e,sigma-rules/rules\application\opencanary\opencanary_tftp_request.yml
OpenCanary - VNC Connection Attempt,high,opencanary,application,no,logsource product 'opencanary' is not this collection,,0,9db5446c-b44a-4291-8b89-fcab5609c3b3,sigma-rules/rules\application\opencanary\opencanary_vnc_connection_attempt.yml
Python SQL Exceptions,medium,python,application,no,logsource product 'python' is not this collection,,0,19aefed0-ffd4-47dc-a7fc-f8b1425e84f9,sigma-rules/rules\application\python\app_python_sql_exceptions.yml
Remote Schedule Task Lateral Movement via ATSvc,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,0fcd1c79-4eeb-4746-aba9-1b458f7a79cb,sigma-rules/rules\application\rpc_firewall\rpc_firewall_atsvc_lateral_movement.yml
Remote Schedule Task Recon via AtScv,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,f177f2bc-5f3e-4453-b599-57eefce9a59c,sigma-rules/rules\application\rpc_firewall\rpc_firewall_atsvc_recon.yml
Possible DCSync Attack,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,56fda488-113e-4ce9-8076-afc2457922c3,sigma-rules/rules\application\rpc_firewall\rpc_firewall_dcsync_attack.yml
Remote Encrypting File System Abuse,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,5f92fff9-82e2-48eb-8fc1-8b133556a551,sigma-rules/rules\application\rpc_firewall\rpc_firewall_efs_abuse.yml
Remote Event Log Recon,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,2053961f-44c7-4a64-b62d-f6e72800af0d,sigma-rules/rules\application\rpc_firewall\rpc_firewall_eventlog_recon.yml
Remote Schedule Task Lateral Movement via ITaskSchedulerService,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,ace3ff54-e7fd-46bd-8ea0-74b49a0aca1d,sigma-rules/rules\application\rpc_firewall\rpc_firewall_itaskschedulerservice_lateral_movement.yml
Remote Schedule Task Recon via ITaskSchedulerService,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,7f7c49eb-2977-4ac8-8ab0-ab1bae14730e,sigma-rules/rules\application\rpc_firewall\rpc_firewall_itaskschedulerservice_recon.yml
Remote Printing Abuse for Lateral Movement,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,bc3a4b0c-e167-48e1-aa88-b3020950e560,sigma-rules/rules\application\rpc_firewall\rpc_firewall_printing_lateral_movement.yml
Remote DCOM/WMI Lateral Movement,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,68050b10-e477-4377-a99b-3721b422d6ef,sigma-rules/rules\application\rpc_firewall\rpc_firewall_remote_dcom_or_wmi.yml
Remote Registry Lateral Movement,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,35c55673-84ca-4e99-8d09-e334f3c29539,sigma-rules/rules\application\rpc_firewall\rpc_firewall_remote_registry_lateral_movement.yml
Remote Registry Recon,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,d8ffe17e-04be-4886-beb9-c1dd1944b9a8,sigma-rules/rules\application\rpc_firewall\rpc_firewall_remote_registry_recon.yml
Remote Server Service Abuse,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,b6ea3cc7-542f-43ef-bbe4-980fbed444c7,sigma-rules/rules\application\rpc_firewall\rpc_firewall_remote_server_service_abuse.yml
Remote Server Service Abuse for Lateral Movement,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,10018e73-06ec-46ec-8107-9172f1e04ff2,sigma-rules/rules\application\rpc_firewall\rpc_firewall_remote_service_lateral_movement.yml
Remote Schedule Task Lateral Movement via SASec,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,aff229ab-f8cd-447b-b215-084d11e79eb0,sigma-rules/rules\application\rpc_firewall\rpc_firewall_sasec_lateral_movement.yml
Recon Activity via SASec,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,0a3ff354-93fc-4273-8a03-1078782de5b7,sigma-rules/rules\application\rpc_firewall\rpc_firewall_sasec_recon.yml
SharpHound Recon Account Discovery,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,65f77b1e-8e79-45bf-bb67-5988a8ce45a5,sigma-rules/rules\application\rpc_firewall\rpc_firewall_sharphound_recon_account.yml
SharpHound Recon Sessions,high,rpc_firewall,application,no,logsource product 'rpc_firewall' is not this collection,,0,6d580420-ff3f-4e0e-b6b0-41b90c787e28,sigma-rules/rules\application\rpc_firewall\rpc_firewall_sharphound_recon_sessions.yml
Ruby on Rails Framework Exceptions,medium,ruby_on_rails,application,no,logsource product 'ruby_on_rails' is not this collection,,0,0d2c3d4c-4b48-4ac3-8f23-ea845746bb1a,sigma-rules/rules\application\ruby\appframework_ruby_on_rails_exceptions.yml
Spring Framework Exceptions,medium,spring,application,no,logsource product 'spring' is not this collection,,0,ae48ab93-45f7-4051-9dfe-5d30a3f78e33,sigma-rules/rules\application\spring\spring_application_exceptions.yml
Potential SpEL Injection In Spring Framework,high,spring,application,no,logsource product 'spring' is not this collection,,0,e9edd087-89d8-48c9-b0b4-5b9bb10896b8,sigma-rules/rules\application\spring\spring_spel_injection.yml
Suspicious SQL Error Messages,high,sql,application,no,logsource product 'sql' is not this collection,,0,8a670c6d-7189-4b1c-8017-a417ca84a086,sigma-rules/rules\application\sql\app_sqlinjection_errors.yml
Potential Server Side Template Injection In Velocity,high,velocity,application,no,logsource product 'velocity' is not this collection,,0,16c86189-b556-4ee8-b4c7-7e350a195a4f,sigma-rules/rules\application\velocity\velocity_ssti_injection.yml
Binary Padding - Linux,high,linux,auditd,no,no table here carries 'auditd' data,,0,c52a914f-3d8b-4b2a-bb75-b3991e75f8ba,sigma-rules/rules\linux\auditd\execve\lnx_auditd_binary_padding.yml
Bpfdoor TCP Ports Redirect,medium,linux,auditd,no,no table here carries 'auditd' data,,0,70b4156e-50fc-4523-aa50-c9dddf1993fc,sigma-rules/rules\linux\auditd\execve\lnx_auditd_bpfdoor_port_redirect.yml
Linux Capabilities Discovery,low,linux,auditd,no,no table here carries 'auditd' data,,0,fe10751f-1995-40a5-aaa2-c97ccb4123fe,sigma-rules/rules\linux\auditd\execve\lnx_auditd_capabilities_discovery.yml
File Time Attribute Change - Linux,medium,linux,auditd,no,no table here carries 'auditd' data,,0,b3cec4e7-6901-4b0d-a02d-8ab2d8eb818b,sigma-rules/rules\linux\auditd\execve\lnx_auditd_change_file_time_attr.yml
Remove Immutable File Attribute - Auditd,medium,linux,auditd,no,no table here carries 'auditd' data,,0,a5b977d6-8a81-4475-91b9-49dbfcd941f7,sigma-rules/rules\linux\auditd\execve\lnx_auditd_chattr_immutable_removal.yml
Clipboard Collection with Xclip Tool - Auditd,low,linux,auditd,no,no table here carries 'auditd' data,,0,214e7e6c-f21b-47ff-bb6f-551b2d143fcf,sigma-rules/rules\linux\auditd\execve\lnx_auditd_clipboard_collection.yml
Clipboard Collection of Image Data with Xclip Tool,low,linux,auditd,no,no table here carries 'auditd' data,,0,f200dc3f-b219-425d-a17e-c38467364816,sigma-rules/rules\linux\auditd\execve\lnx_auditd_clipboard_image_collection.yml
Possible Coin Miner CPU Priority Param,critical,linux,auditd,no,no table here carries 'auditd' data,,0,071d5e5a-9cef-47ec-bc4e-a42e34d8d0ed,sigma-rules/rules\linux\auditd\execve\lnx_auditd_coinminer.yml
Data Compressed,low,linux,auditd,no,no table here carries 'auditd' data,,0,a3b5e3e9-1b49-4119-8b8e-0344a01f21ee,sigma-rules/rules\linux\auditd\execve\lnx_auditd_data_compressed.yml
Data Exfiltration with Wget,medium,linux,auditd,no,no table here carries 'auditd' data,,0,cb39d16b-b3b6-4a7a-8222-1cf24b686ffc,sigma-rules/rules\linux\auditd\execve\lnx_auditd_data_exfil_wget.yml
Overwriting the File with Dev Zero or Null,low,linux,auditd,no,no table here carries 'auditd' data,,0,37222991-11e9-4b6d-8bdf-60fbe48f753e,sigma-rules/rules\linux\auditd\execve\lnx_auditd_dd_delete_file.yml
File or Folder Permissions Change,low,linux,auditd,no,no table here carries 'auditd' data,,0,74c01ace-0152-4094-8ae2-6fd776dd43e5,sigma-rules/rules\linux\auditd\execve\lnx_auditd_file_or_folder_permissions.yml
Credentials In Files - Linux,high,linux,auditd,no,no table here carries 'auditd' data,,0,df3fcaea-2715-4214-99c5-0056ea59eb35,sigma-rules/rules\linux\auditd\execve\lnx_auditd_find_cred_in_files.yml
Hidden Files and Directories,low,linux,auditd,no,no table here carries 'auditd' data,,0,d08722cd-3d09-449a-80b4-83ea2d9d4616,sigma-rules/rules\linux\auditd\execve\lnx_auditd_hidden_files_directories.yml
Steganography Hide Zip Information in Picture File,low,linux,auditd,no,no table here carries 'auditd' data,,0,45810b50-7edc-42ca-813b-bdac02fb946b,sigma-rules/rules\linux\auditd\execve\lnx_auditd_hidden_zip_files_steganography.yml
Masquerading as Linux Crond Process,medium,linux,auditd,no,no table here carries 'auditd' data,,0,9d4548fa-bba0-4e88-bd66-5d5bf516cda0,sigma-rules/rules\linux\auditd\execve\lnx_auditd_masquerading_crond.yml
Modify System Firewall,medium,linux,auditd,no,no table here carries 'auditd' data,,0,323ff3f5-0013-4847-bbd4-250b5edb62cc,sigma-rules/rules\linux\auditd\execve\lnx_auditd_modify_system_firewall.yml
Network Sniffing - Linux,low,linux,auditd,no,no table here carries 'auditd' data,,0,f4d3748a-65d1-4806-bd23-e25728081d01,sigma-rules/rules\linux\auditd\execve\lnx_auditd_network_sniffing.yml
