path,size_bytes,size_human,reason,preview
/etc/apparmor.d/abstractions/python,1578,1.5 KB,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/ruby,927,927 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2006 Novell/SUSE
/etc/apparmor.d/abstractions/samba,861,861 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/smbpass,489,489 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/ssl_certs,953,953 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2005 Novell/SUSE
/etc/apparmor.d/abstractions/ssl_keys,672,672 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/svn-repositories,1698,1.7 KB,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2006 Novell/SUSE
/etc/apparmor.d/abstractions/ubuntu-bittorrent-clients,715,715 B,distribution reference data,# vim:syntax=apparmor / # / # abstraction for allowing graphical bittorrent clients in Ubuntu
/etc/apparmor.d/abstractions/ubuntu-browsers,1699,1.7 KB,distribution reference data,# vim:syntax=apparmor / # / # abstraction for allowing access to graphical browsers in Ubuntu
/etc/apparmor.d/abstractions/ubuntu-browsers.d/java,3997,3.9 KB,distribution reference data,# vim:syntax=apparmor /  /   # Java plugin
/etc/apparmor.d/abstractions/ubuntu-browsers.d/kde,255,255 B,distribution reference data,# vim:syntax=apparmor / # Users of this abstraction need to #include the ubuntu-helpers abstraction / # in the toplevel profile. Eg:
/etc/apparmor.d/abstractions/ubuntu-browsers.d/mailto,333,333 B,distribution reference data,# vim:syntax=apparmor /  /   # for mailto:
/etc/apparmor.d/abstractions/ubuntu-browsers.d/multimedia,1836,1.8 KB,distribution reference data,# vim:syntax=apparmor / # Users of this abstraction need to #include the ubuntu-helpers abstraction / # in the toplevel profile. Eg:
/etc/apparmor.d/abstractions/ubuntu-browsers.d/plugins-common,350,350 B,distribution reference data,# vim:syntax=apparmor /  /   #
/etc/apparmor.d/abstractions/ubuntu-browsers.d/productivity,1021,1021 B,distribution reference data,# vim:syntax=apparmor / # Users of this abstraction need to #include the ubuntu-helpers abstraction / # in the toplevel profile. Eg:
/etc/apparmor.d/abstractions/ubuntu-browsers.d/text-editors,668,668 B,distribution reference data,# vim:syntax=apparmor / # Users of this abstraction need to #include the ubuntu-helpers abstraction / # in the toplevel profile. Eg:
/etc/apparmor.d/abstractions/ubuntu-browsers.d/ubuntu-integration,1471,1.4 KB,distribution reference data,# vim:syntax=apparmor / # Users of this abstraction need to #include the ubuntu-helpers abstraction / # in the toplevel profile. Eg:
/etc/apparmor.d/abstractions/ubuntu-browsers.d/ubuntu-integration-xul,174,174 B,distribution reference data,# vim:syntax=apparmor /  /   # firefox-notify
/etc/apparmor.d/abstractions/ubuntu-browsers.d/user-files,890,890 B,distribution reference data,# vim:syntax=apparmor /  /   # Allow read to all files user has DAC access to and write access to all
/etc/apparmor.d/abstractions/ubuntu-console-browsers,629,629 B,distribution reference data,# vim:syntax=apparmor / # / # abstraction for allowing access to text-only browsers in Ubuntu. These will
/etc/apparmor.d/abstractions/ubuntu-console-email,619,619 B,distribution reference data,# vim:syntax=apparmor / # / # abstraction for allowing console email clients in Ubuntu. These will
/etc/apparmor.d/abstractions/ubuntu-email,926,926 B,distribution reference data,# vim:syntax=apparmor / # / # abstraction for allowing graphical email clients in Ubuntu
/etc/apparmor.d/abstractions/ubuntu-feed-readers,349,349 B,distribution reference data,# vim:syntax=apparmor / # / # abstraction for allowing graphical news feed readers in Ubuntu
/etc/apparmor.d/abstractions/ubuntu-gnome-terminal,192,192 B,distribution reference data,# vim:syntax=apparmor / # / # for allowing access to gnome-terminal
/etc/apparmor.d/abstractions/ubuntu-helpers,3513,3.4 KB,distribution reference data,# Lenient profile that is intended to be used when 'Ux' is desired but / # does not provide enough environment sanitizing. This effectively is an / # open profile that blacklists certain known dangerous files and also
/etc/apparmor.d/abstractions/ubuntu-konsole,360,360 B,distribution reference data,# vim:syntax=apparmor / # / # for allowing access to konsole
/etc/apparmor.d/abstractions/ubuntu-media-players,2294,2.2 KB,distribution reference data,# vim:syntax=apparmor / # / # abstraction for allowing access to media players in Ubuntu
/etc/apparmor.d/abstractions/ubuntu-unity7-base,2545,2.5 KB,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/ubuntu-unity7-launcher,198,198 B,distribution reference data,# /   # Access required for connecting to/communicating with the Unity Launcher /   #
/etc/apparmor.d/abstractions/ubuntu-unity7-messaging,199,199 B,distribution reference data,# /   # Access required for connecting to/communicating with the Unity messaging /   # indicator
/etc/apparmor.d/abstractions/ubuntu-xterm,250,250 B,distribution reference data,# vim:syntax=apparmor / # / # for allowing access to xterm
/etc/apparmor.d/abstractions/user-download,900,900 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2006 Novell/SUSE
/etc/apparmor.d/abstractions/user-mail,860,860 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2006 Novell/SUSE
/etc/apparmor.d/abstractions/user-manpages,913,913 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2006 Novell/SUSE
/etc/apparmor.d/abstractions/user-tmp,674,674 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2009 Novell/SUSE
/etc/apparmor.d/abstractions/user-write,885,885 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2006 Novell/SUSE
/etc/apparmor.d/abstractions/video,129,129 B,distribution reference data,# vim:syntax=apparmor / # video device access /
/etc/apparmor.d/abstractions/wayland,594,594 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/web-data,730,730 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2006 Novell/SUSE
/etc/apparmor.d/abstractions/winbind,760,760 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2009 Novell/SUSE
/etc/apparmor.d/abstractions/wutmp,601,601 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2009 Novell/SUSE
/etc/apparmor.d/abstractions/xad,908,908 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2007 Novell/SUSE
/etc/apparmor.d/abstractions/xdg-desktop,697,697 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/cache/.features,1991,1.9 KB,distribution reference data,query {label {multi_transaction {yes / } / data {yes
/etc/apparmor.d/cache/lxc-containers,123268,120.4 KB,binary content,
/etc/apparmor.d/cache/sbin.dhclient,118596,115.8 KB,binary content,
/etc/apparmor.d/cache/usr.bin.lxc-start,8769,8.6 KB,binary content,
/etc/apparmor.d/cache/usr.bin.man,43828,42.8 KB,binary content,
/etc/apparmor.d/cache/usr.lib.snapd.snap-confine.real,79770,77.9 KB,binary content,
/etc/apparmor.d/cache/usr.sbin.tcpdump,60857,59.4 KB,binary content,
/etc/apparmor.d/tunables/alias,640,640 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2010 Canonical Ltd.
/etc/apparmor.d/tunables/apparmorfs,387,387 B,distribution reference data,#    Copyright (C) 2012 Canonical Ltd. / # / #    This program is free software; you can redistribute it and/or
/etc/apparmor.d/tunables/dovecot,824,824 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2013 Christian Boltz
/etc/apparmor.d/tunables/global,714,714 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2006-2009 Novell/SUSE
/etc/apparmor.d/tunables/home,1008,1008 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2006-2009 Novell/SUSE
/etc/apparmor.d/tunables/home.d/site.local,647,647 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2010 Canonical Ltd.
/etc/apparmor.d/tunables/home.d/ubuntu,344,344 B,distribution reference data,# This file is auto-generated. It is recommended you update it using: / # $ sudo dpkg-reconfigure apparmor / #
/etc/apparmor.d/tunables/kernelvars,850,850 B,distribution reference data,#    Copyright (C) 2012 Canonical Ltd. / # / #    This program is free software; you can redistribute it and/or
/etc/apparmor.d/tunables/multiarch,648,648 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2010 Canonical Ltd.
/etc/apparmor.d/tunables/multiarch.d/site.local,659,659 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2011 Canonical Ltd.
/etc/apparmor.d/tunables/proc,452,452 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2006 Novell/SUSE
/etc/apparmor.d/tunables/securityfs,442,442 B,distribution reference data,#    Copyright (C) 2012 Canonical Ltd. / # / #    This program is free software; you can redistribute it and/or
/etc/apparmor.d/tunables/sys,378,378 B,distribution reference data,#    Copyright (C) 2012 Canonical Ltd. / # / #    This program is free software; you can redistribute it and/or
/etc/apparmor.d/tunables/xdg-user-dirs,892,892 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2014 Canonical Ltd.
/etc/apparmor.d/tunables/xdg-user-dirs.d/site.local,751,751 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2014 Canonical Ltd.
/etc/apport/blacklist.d/README.blacklist,221,221 B,distribution reference data,"# Blacklist for apport / # If an executable path appears on any line in any file in / # /etc/apport/blacklist.d/, apport will not generate a crash report"
/etc/apport/blacklist.d/apport,25,25 B,distribution reference data,/usr/bin/wine-preloader
/etc/apport/crashdb.conf,1254,1.2 KB,distribution reference data,# map crash database names to CrashDatabase implementations and URLs /  / default = 'ubuntu'
/etc/apt/trusted.gpg,1220,1.2 KB,binary content,
/etc/apt/trusted.gpg.d/ubuntu-keyring-2012-archive.gpg,2796,2.7 KB,binary content,
/etc/apt/trusted.gpg.d/ubuntu-keyring-2012-cdimage.gpg,2794,2.7 KB,binary content,
/etc/apt/trusted.gpg.d/ubuntu-keyring-2018-archive.gpg,1733,1.7 KB,binary content,
/etc/bindresvport.blacklist,382,382 B,distribution reference data,"# / # This file contains a list of port numbers between 600 and 1024, / # which should not be used by bindresvport. bindresvport is mostly"
/etc/byobu/backend,228,228 B,distribution reference data,"# BYOBU_BACKEND can currently be ""screen"" or ""tmux"" / # Override this on a per-user basis by editing ""$BYOBU_CONFIG_DIR/backend"" / # or by launching either ""byobu-screen"" or ""byobu-tmux"" instead of ""byobu""."
/etc/byobu/socketdir,467,467 B,distribution reference data,"# Set the location of the socket directory that byobu will use. / # On Debian/Ubuntu systems, this is in /var/run/screen, but on / # other distros, it might be elsewhere, such as /tmp/screens"
/etc/ca-certificates.conf,7009,6.8 KB,distribution reference data,# This file lists certificates that you wish to use or to ignore to be / # installed in /etc/ssl/certs. / # update-ca-certificates(8) will update /etc/ssl/certs by reading this file.
/etc/ca-certificates.conf.dpkg-old,6042,5.9 KB,distribution reference data,# This file lists certificates that you wish to use or to ignore to be / # installed in /etc/ssl/certs. / # update-ca-certificates(8) will update /etc/ssl/certs by reading this file.
/etc/calendar/default,627,627 B,distribution reference data,"/* This is the system-wide default calendar file, used if calendar(1) /  * is invoked by a user without a ~/calendar or ~/.calendar/calendar file. /  * It may be edited or even deleted to reflect local policy."
/etc/cloud/templates/chef_client.rb.tmpl,1731,1.7 KB,distribution reference data,## template:jinja / {# / This file is only utilized if the module 'cc_chef' is enabled in
/etc/cloud/templates/chrony.conf.alpine.tmpl,1151,1.1 KB,distribution reference data,## template:jinja / # Welcome to the chrony configuration file. See chrony.conf(5) for more / # information about usable directives.
/etc/cloud/templates/chrony.conf.debian.tmpl,1150,1.1 KB,distribution reference data,## template:jinja / # Welcome to the chrony configuration file. See chrony.conf(5) for more / # information about usuable directives.
/etc/cloud/templates/chrony.conf.fedora.tmpl,1317,1.3 KB,distribution reference data,## template:jinja / # Use public servers from the pool.ntp.org project. / # Please consider joining the pool (http://www.pool.ntp.org/join.html).
/etc/cloud/templates/chrony.conf.opensuse.tmpl,1029,1.0 KB,distribution reference data,## template:jinja / # Use public servers from the pool.ntp.org project. / # Please consider joining the pool (http://www.pool.ntp.org/join.html).
/etc/cloud/templates/chrony.conf.photon.tmpl,1317,1.3 KB,distribution reference data,## template:jinja / # Use public servers from the pool.ntp.org project. / # Please consider joining the pool (http://www.pool.ntp.org/join.html).
/etc/cloud/templates/chrony.conf.rhel.tmpl,1226,1.2 KB,distribution reference data,## template:jinja / # Use public servers from the pool.ntp.org project. / # Please consider joining the pool (http://www.pool.ntp.org/join.html).
/etc/cloud/templates/chrony.conf.sles.tmpl,1029,1.0 KB,distribution reference data,## template:jinja / # Use public servers from the pool.ntp.org project. / # Please consider joining the pool (http://www.pool.ntp.org/join.html).
/etc/cloud/templates/chrony.conf.ubuntu.tmpl,1322,1.3 KB,distribution reference data,## template:jinja / # Welcome to the chrony configuration file. See chrony.conf(5) for more / # information about usuable directives.
/etc/cloud/templates/hosts.alpine.tmpl,1013,1013 B,distribution reference data,## template:jinja / {# / This file /etc/cloud/templates/hosts.alpine.tmpl is only utilized
/etc/cloud/templates/hosts.debian.tmpl,927,927 B,distribution reference data,## template:jinja / {# / This file (/etc/cloud/templates/hosts.debian.tmpl) is only utilized
/etc/cloud/templates/hosts.freebsd.tmpl,934,934 B,distribution reference data,## template:jinja / {# / This file /etc/cloud/templates/hosts.freebsd.tmpl is only utilized
/etc/cloud/templates/hosts.photon.tmpl,896,896 B,distribution reference data,## template:jinja / {# / This file /etc/cloud/templates/hosts.photon.tmpl is only utilized
/etc/cloud/templates/hosts.redhat.tmpl,936,936 B,distribution reference data,## template:jinja / {# / This file /etc/cloud/templates/hosts.redhat.tmpl is only utilized
/etc/cloud/templates/hosts.suse.tmpl,1099,1.1 KB,distribution reference data,## template:jinja / {# / This file /etc/cloud/templates/hosts.suse.tmpl is only utilized
/etc/cloud/templates/ntp.conf.alpine.tmpl,213,213 B,distribution reference data,## template:jinja / # /etc/ntp.conf / #
/etc/cloud/templates/ntp.conf.debian.tmpl,2214,2.2 KB,distribution reference data,"## template:jinja /  / # /etc/ntp.conf, configuration for ntpd; see ntp.conf(5) for help"
/etc/cloud/templates/ntp.conf.fedora.tmpl,2140,2.1 KB,distribution reference data,"## template:jinja /  / # For more information about this file, see the man pages"
/etc/cloud/templates/ntp.conf.opensuse.tmpl,2843,2.8 KB,distribution reference data,## template:jinja /  / ##
/etc/cloud/templates/ntp.conf.photon.tmpl,1911,1.9 KB,distribution reference data,"## template:jinja /  / # For more information about this file, see the man pages"
/etc/cloud/templates/ntp.conf.rhel.tmpl,1913,1.9 KB,distribution reference data,"## template:jinja /  / # For more information about this file, see the man pages"
/etc/cloud/templates/ntp.conf.sles.tmpl,2843,2.8 KB,distribution reference data,## template:jinja /  / ##
/etc/cloud/templates/ntp.conf.ubuntu.tmpl,2584,2.5 KB,distribution reference data,"## template:jinja /  / # /etc/ntp.conf, configuration for ntpd; see ntp.conf(5) for help"
/etc/cloud/templates/resolv.conf.tmpl,959,959 B,distribution reference data,"## template:jinja / # Your system has been configured with 'manage-resolv-conf' set to true. / # As a result, cloud-init has written this file with configuration data"
/etc/cloud/templates/sources.list.debian.tmpl,1325,1.3 KB,distribution reference data,"## template:jinja / ## Note, this file is written by cloud-init on first boot of an instance / ## modifications made here will not survive a re-bundle."
/etc/cloud/templates/sources.list.ubuntu.tmpl,2916,2.8 KB,distribution reference data,"## template:jinja / ## Note, this file is written by cloud-init on first boot of an instance / ## modifications made here will not survive a re-bundle."
/etc/cloud/templates/systemd.resolved.conf.tmpl,519,519 B,distribution reference data,"## template:jinja / # Your system has been configured with 'manage-resolv-conf' set to true. / # As a result, cloud-init has written this file with configuration data"
/etc/cloud/templates/timesyncd.conf.tmpl,211,211 B,distribution reference data,## template:jinja / # cloud-init generated file / # See timesyncd.conf(5) for details.
/etc/console-setup/ISO-8859-1.acm,1584,1.5 KB,distribution reference data,# generated from UTF-tmpl.8bit.in by: / # { / #   while read a b; do
/etc/console-setup/Uni2-Fixed16.psf.gz,4147,4.0 KB,compressed or binary,
/etc/console-setup/cached_ISO-8859-1.acm.gz,658,658 B,compressed or binary,
/etc/console-setup/cached_ISO-8859-1_del.kmap.gz,3402,3.3 KB,compressed or binary,
/etc/console-setup/cached_UTF-8_del.kmap.gz,4024,3.9 KB,compressed or binary,
/etc/console-setup/cached_Uni2-Fixed16.psf.gz,4147,4.0 KB,compressed or binary,
/etc/console-setup/cached_setup_font.sh,476,476 B,distribution reference data,#!/bin/sh /  / setfont '/etc/console-setup/Uni2-Fixed16.psf.gz'
/etc/console-setup/cached_setup_keyboard.sh,207,207 B,distribution reference data,#!/bin/sh /  / if [ -f /run/console-setup/keymap_loaded ]; then
/etc/console-setup/cached_setup_terminal.sh,78,78 B,distribution reference data,#!/bin/sh /  / { :
/etc/console-setup/compose.ARMSCII-8.inc,35,35 B,distribution reference data,# Compose sequences for ARMSCII-8
/etc/console-setup/compose.CP1251.inc,32,32 B,distribution reference data,# Compose sequences for CP1251
/etc/console-setup/compose.CP1255.inc,32,32 B,distribution reference data,# Compose sequences for CP1255
/etc/console-setup/compose.CP1256.inc,32,32 B,distribution reference data,# Compose sequences for CP1256
/etc/console-setup/compose.GEORGIAN-ACADEMY.inc,42,42 B,distribution reference data,# Compose sequences for GEORGIAN-ACADEMY
/etc/console-setup/compose.GEORGIAN-PS.inc,37,37 B,distribution reference data,# Compose sequences for GEORGIAN-PS
/etc/console-setup/compose.IBM1133.inc,33,33 B,distribution reference data,# Compose sequences for IBM1133
/etc/console-setup/compose.ISIRI-3342.inc,36,36 B,distribution reference data,# Compose sequences for ISIRI-3342
/etc/console-setup/compose.ISO-8859-1.inc,3596,3.5 KB,distribution reference data,# Compose sequences for ISO-8859-1 / compose '!' '!' to '�' / compose '!' '^' to '�'
/etc/console-setup/compose.ISO-8859-10.inc,37,37 B,distribution reference data,# Compose sequences for ISO-8859-10
/etc/console-setup/compose.ISO-8859-11.inc,37,37 B,distribution reference data,# Compose sequences for ISO-8859-11
/etc/console-setup/compose.ISO-8859-13.inc,3737,3.6 KB,distribution reference data,# Compose sequences for ISO-8859-13 / compose '!' '^' to '�' / compose '!' 'p' to '�'
/etc/console-setup/compose.ISO-8859-14.inc,3020,2.9 KB,distribution reference data,# Compose sequences for ISO-8859-14 / compose '!' 'p' to '�' / compose '!' 's' to '�'
/etc/console-setup/compose.ISO-8859-15.inc,3552,3.5 KB,distribution reference data,# Compose sequences for ISO-8859-15 / compose '!' '!' to '�' / compose '!' 'p' to '�'
/etc/console-setup/compose.ISO-8859-16.inc,37,37 B,distribution reference data,# Compose sequences for ISO-8859-16
/etc/console-setup/compose.ISO-8859-2.inc,2893,2.8 KB,distribution reference data,# Compose sequences for ISO-8859-2 / compose '!' 'p' to '�' / compose '!' 's' to '�'
/etc/console-setup/compose.ISO-8859-3.inc,3387,3.3 KB,distribution reference data,"# Compose sequences for ISO-8859-3 / compose '!' 's' to '�' / compose '""' '""' to '�'"
/etc/console-setup/compose.ISO-8859-4.inc,2805,2.7 KB,distribution reference data,"# Compose sequences for ISO-8859-4 / compose '!' 's' to '�' / compose '""' '""' to '�'"
/etc/console-setup/compose.ISO-8859-5.inc,36,36 B,distribution reference data,# Compose sequences for ISO-8859-5
/etc/console-setup/compose.ISO-8859-6.inc,36,36 B,distribution reference data,# Compose sequences for ISO-8859-6
/etc/console-setup/compose.ISO-8859-7.inc,1217,1.2 KB,distribution reference data,# Compose sequences for ISO-8859-7 / compose '!' '^' to '�' / compose '!' 's' to '�'
/etc/console-setup/compose.ISO-8859-8.inc,36,36 B,distribution reference data,# Compose sequences for ISO-8859-8
/etc/console-setup/compose.ISO-8859-9.inc,3617,3.5 KB,distribution reference data,# Compose sequences for ISO-8859-9 / compose '!' '!' to '�' / compose '!' 'p' to '�'
